BGD(0/49): loss=2852.0391348515573, w=0.7075625032674817, b=13.32789823167429
BGD(1/49): loss=1825.9850450301676, w=1.2740168273119061, b=23.990216817013717
BGD(2/49): loss=1169.3077854571814, w=1.7275039747326153, b=32.52007168528526
BGD(3/49): loss=749.0326459781148, w=2.0905528281819947, b=39.3439555799025
BGD(4/49): loss=480.0554714172445, w=2.3811993674291845, b=44.80306269559628
BGD(5/49): loss=307.9093841173322, w=2.613882682563649, b=49.17034838815131
BGD(6/49): loss=197.73544243739028, w=2.8001622965655835, b=52.66417694219533
BGD(7/49): loss=127.22383403736711, w=2.949292433260847, b=55.459239785430555
BGD(8/49): loss=82.09622153611433, w=3.0686817598380265, b=57.69529006001873
BGD(9/49): loss=53.21443216767163, w=3.1642614435721, b=59.48413027968927
BGD(10/49): loss=34.73001174923223, w=3.240779807521493, b=60.9152024554257
BGD(11/49): loss=22.899934470144395, w=3.302038223460407, b=62.060060196014845
BGD(12/49): loss=15.328654112210076, w=3.3510799610206465, b=62.975946388486165
BGD(13/49): loss=10.483014879307675, w=3.3903413749188727, b=63.70865534246322
BGD(14/49): loss=7.3817930776896645, w=3.4217729411311097, b=64.29482250564486
BGD(15/49): loss=5.397002989806648, w=3.4469361549958775, b=64.76375623619018
BGD(16/49): loss=4.126732119818896, w=3.4670811050670434, b=65.13890322062643
BGD(17/49): loss=3.313755421462931, w=3.4832085765240164, b=65.43902080817543
BGD(18/49): loss=2.7934481928580115, w=3.4961197693875703, b=65.67911487821463
BGD(19/49): loss=2.4604501939315533, w=3.506456101502907, b=65.87119013424599
BGD(20/49): loss=2.2473305948868405, w=3.514731073670671, b=66.02485033907108
BGD(21/49): loss=2.1109334876652763, w=3.5213557799604067, b=66.14777850293115
BGD(22/49): loss=2.0236389776746995, w=3.526659330538646, b=66.2461210340192
BGD(23/49): loss=1.9677702596741886, w=3.5309052016015685, b=66.32479505888965
BGD(24/49): loss=1.9320141317138608, w=3.534304324663942, b=66.387734278786
BGD(25/49): loss=1.9091301146818753, w=3.5370255654698766, b=66.43808565470309
BGD(26/49): loss=1.8944842828064774, w=3.5392041131093706, b=66.47836675543675
BGD(27/49): loss=1.8851109113264939, w=3.5409481961053313, b=66.51059163602369
BGD(28/49): loss=1.8791119285325397, w=3.5423444591209545, b=66.53637154049323
BGD(29/49): loss=1.8752725634915715, w=3.5434622673980334, b=66.55699546406888
BGD(30/49): loss=1.872815359576852, w=3.5443571527672835, b=66.57349460292939
BGD(31/49): loss=1.8712427424773814, w=3.5450735724257516, b=66.5866939140178
BGD(32/49): loss=1.8702362633074996, w=3.5456471175351885, b=66.59725336288852
BGD(33/49): loss=1.869592113930125, w=3.5461062813628006, b=66.6057009219851
BGD(34/49): loss=1.8691798565925961, w=3.54647387480422, b=66.61245896926236
BGD(35/49): loss=1.8689160107839402, w=3.5467681596107505, b=66.61786540708418
BGD(36/49): loss=1.868747148753297, w=3.547003755618722, b=66.62219055734163
BGD(37/49): loss=1.8686390765966465, w=3.547192367051389, b=66.62565067754758
BGD(38/49): loss=1.868569910123467, w=3.5473433639754846, b=66.62841877371235
BGD(39/49): loss=1.868525643392894, w=3.5474642477987173, b=66.63063325064417
BGD(40/49): loss=1.8684973125650024, w=3.547561023933774, b=66.63240483218962
BGD(41/49): loss=1.8684791807580345, w=3.547638500142468, b=66.63382209742598
BGD(42/49): loss=1.868467576352148, w=3.5477005253815426, b=66.63495590961507
BGD(43/49): loss=1.8684601495007045, w=3.547750181015796, b=66.63586295936635
BGD(44/49): loss=1.8684553962954766, w=3.5477899338978465, b=66.63658859916737
BGD(45/49): loss=1.8684523542311198, w=3.5478217589194196, b=66.63716911100818
BGD(46/49): loss=1.8684504073015893, w=3.547847237122405, b=66.63763352048083
BGD(47/49): loss=1.8684491612613465, w=3.547867634243766, b=66.63800504805896
BGD(48/49): loss=1.868448363792165, w=3.547883963596353, b=66.63830227012146
BGD(49/49): loss=1.8684478534096927, w=3.547897036409481, b=66.63854004777146
Learn: execution time=0.141 seconds
R2: 0.8362099758134547
MSE: 2.4156981721089568
RMSE: 1.5542516437530174
MAE: 1.280180637895127
